id,categoria_id,nombre,marca_id,volumen,precio
356475,9.0,Crown Royal Honey,1.0,750,22.49
15335,9.0,Crown Royal Regal Apple Mini,1.0,300,11.03
81345,9.0,Crown Royal Regal Apple,1.0,200,7.08
150318,9.0,Crown Royal Xr Canadian Whiskey,1.0,750,98.99
310791,9.0,Crown Royal Canadian Whisky Mini,1.0,300,11.03
54058,9.0,Crown Royal Canadian Whisky,1.0,200,7.25
284871,9.0,Crown Royal Canadian Whisky,1.0,375,11.63
150100,9.0,Crown Royal Canadian Whisky,1.0,1000,28.13
243566,9.0,Crown Royal Canadian Whisky,1.0,1750,47.99
245400,9.0,Crown Royal,1.0,200,7.08
336832,9.0,Seagrams V.o. Bl Canadian Whisky,1.0,750,11.25
202052,5.0,Captain Morgan Mango With Pitcher,1.0,750,10.64
7943,5.0,Captain Morgan Pineapple With Pitcher,1.0,750,10.64
185598,14.0,Club Cocktails Brass Monkey,1.0,750,5.21
338308,14.0,Club Cocktails Gin Martini,1.0,750,5.19
318333,14.0,Club Cocktails Manhattan,1.0,750,5.19
68242,14.0,Club Mudslide,1.0,1750,9.6
185896,14.0,Club Lime Margarita,1.0,1750,12.75
277119,14.0,Club Orange Craze,1.0,1750,8.19
251130,14.0,Club Peach Daiquiri Pouch,1.0,200,1.5
63769,14.0,Club Strawberry Margarita Pouch,1.0,200,1.5
135703,14.0,Club Strawberry Margarita,1.0,1750,12.75
103311,14.0,Club Cocktails Screwdriver,1.0,750,5.19
428257,14.0,Captain Morgan Long Island Iced Tea,1.0,1750,16.5
256146,14.0,Captain Morgan Parrot Bay Citrus Mojito,1.0,1750,15.75
167827,9.0,Crown Royal Regal Apple,1.0,375,11.63
387504,9.0,Crown Royal Regal Apple,1.0,1000,27.75
201598,9.0,Crown Royal 75th Anniversary,1.0,750,52.49
367664,9.0,Crown Royal Maple Mini,1.0,300,11.03
10034,9.0,Crown Royal Maple,1.0,750,22.5
159822,9.0,Crown Royal Maple,1.0,1000,27.75
50934,9.0,Crown Royal XO,1.0,750,37.49
380493,9.0,Crown Royal Northern Harvest Rye,1.0,750,25.5
89977,9.0,Crown Royal Black Mini,1.0,300,10.26
383396,9.0,Crown Royal Black,1.0,750,25.5
55925,9.0,Crown Royal Black,1.0,1750,50.69
